age,male_ex,female_ex
0,56.64,56.64
1,60.60,60.60
2,60.58,60.58
3,59.97,59.97
4,59.22,59.22
5,58.41,58.41
6,57.57,57.57
7,56.71,56.71
8,55.83,55.83
9,54.93,54.93
10,54.03,54.03
11,53.11,53.11
12,52.19,52.19
13,51.28,51.28
14,50.37,50.37
15,49.49,49.49
16,48.62,48.62
17,47.78,47.78
18,46.96,46.96
19,46.15,46.15
20,45.90,45.90
21,44.59,44.59
22,43.83,43.83
23,43.03,43.03
24,42.27,42.27
25,41.49,41.49
26,40.70,40.70
27,39.90,39.90
28,39.10,39.10
29,38.32,38.32
30,37.50,37.50
31,36.70,36.70
32,35.90,35.90
33,35.10,35.10
34,34.29,34.29
35,33.49,33.49
36,32.69,32.69
37,31.90,31.90
38,31.10,31.10
39,30.31,30.31
40,29.73,29.73
41,28.73,28.73
42,27.95,27.95
43,27.18,27.18
44,26.40,26.40
45,25.64,25.64
46,24.78,24.78
47,24.12,24.12
48,23.36,23.36
49,22.62,22.62
50,21.88,21.88
51,21.15,21.15
52,20.42,20.42
53,19.70,19.70
54,18.98,18.98
55,18.28,18.28
56,17.82,17.82
57,16.90,16.90
58,16.10,16.10
59,15.55,15.55
60,14.89,14.89
61,14.23,14.23
62,13.59,13.59
63,12.97,12.97
64,12.35,12.35
65,11.75,11.75
66,11.17,11.17
67,10.51,10.51
68,10.05,10.05
69,9.50,9.50
70,8.98,8.98
71,8.47,8.47
72,7.98,7.98
73,7.54,7.54
74,7.08,7.08
75,6.88,6.88
76,6.25,6.25
77,5.86,5.86
78,5.50,5.50
79,5.15,5.15
80,4.85,4.85
81,4.52,4.52
82,5.22,5.22
83,3.95,3.95
84,3.71,3.71
90,2.71,2.71
95,2.40,2.40
100,2.00,2.00
105,1.00,1.00
